iter	RMSE
0	53757.2981311	50877.3008
2	48238.39206
3	45854.06465
4	43694.39306
5	42177.26502
6	40612.59589
7	39154.11398
8	37741.38419
9	36663.54398
10	35649.51235
11	34668.08549
12	33806.49647
13	33078.22014	30583.18772
15	29898.41205
16	29278.67328
17	28761.30954
18	28261.5984
19	27818.43399
20	27349.6926
21	26944.06136
22	26543.61414
23	26151.59134
24	25793.00383
25	25386.56811
26	25035.99029
27	24663.39998
28	24393.61673
29	24217.37707
30	23969.2164
31	23792.43926
32	23579.71104
33	23393.96103
34	23142.89004
35	22993.82029
36	22750.73184
37	22495.27376
38	22330.28441
39	22100.51993
40	22002.88728
41	21873.46754
42	21721.66058
43	21617.464
44	21528.36675
45	21388.22416
46	21259.70609
47	21131.17399
48	20991.18949
49	20866.62004
4
448
